"Name","Country","Category","Website","CEO","LinkedIn","Twitter","description"
"Ping Express"," United States"," Payments & Transfers"," http://ping-express.com/"," Anslem Oshionebo","https://www.linkedin.com/in/anslemo/"," @thepingexpress","Ping Express \n \n        Ping Express was created out of a burning desire to make it easier for everyone to make a meaningful impact on the lives of family and friends by sending some money to help pay tuition, buy medicine, food and clothing. \n\nOur technology is built the African way and to support Africans in the diaspora. It is built based on the knowledge of the varying cultures,  beliefs and life styles. \n\nOur free and very low transaction fees saves our members money and puts more money in their beneficiaries’ pockets through highly efficient delivery of funds. \n\nOur members are not just customers, they are part of the Ping Express family, helping friends and families. This allows a member to send as little as $20 to provide for food for a family of four (4) for a week. The little things that remind our members of home; the links and stories that binds us all together! Our technology puts the sender in control of where, when and how he or she chooses to send money. \n\nThus eliminating the need: • To leave work early for the agents’ office before it closes • To carry cash while initiating or completing a transfer, and • To share with others or third parties on how much is being sent and to who. With the Ping Express mobile application or website, you are within seconds of making someone smile.\n        "
"Ipreo (Pty) Ltd."," South Africa"," InvestTech"," Ipreo.com"," Scott Ganeles","https://www.linkedin.com/company-beta/7226/"," @IpreoCapMarkets","Ipreo (Pty) Ltd. \n \n        Since its inception, Ipreo has transformed global capital markets by finding new ways to connect them. We are a change-leading FinTech firm that provides all participants in the capital-raising process – sell-side banks, buy-side investors, and public and private companies – with data-driven intelligence and innovative software solutions. Ipreo’s data and solutions are critical to connecting market participants and enabling the efficient execution of capital-raising activities – in short, we make the markets work! Ipreo’s Cape Town operation has long been a critical component of Ipreo’s global success, employing more than 120 people in a wide range of roles from technology developers to client-facing market analysts. We recently invested in a new expanded space (with ribbon-cutting by the mayor of Cape Town) and are committed to aggressively recruiting in South Africa. Ipreo has even leveraged our sizeable base of operations in London to help entice Africans living in the UK back to Africa through “Homecoming Revolution”. We are heavily engaged with the technology community in Cape-Town, collaborating with organizations like codeX to help train young developers and hosting FinTech Meet-ups. It’s our firm belief that by doing our part to help grow South Africa’s economy, we further Ipreo’s growth as well.\n        "
"Mukuru"," South Africa"," Payments & Transfers"," www.mukuru.com"," Dougal Bennett (CFO)","https://www.linkedin.com/in/dougal-bennett-64357757?authType=NAME_SEARCH&authToken=85iv&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A201463251%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1469026054973%2Ctas%3Adougal%20benne"," @mukurudotcom","Mukuru \n \n        Mukuru is breaking down the barriers for money transfers in Africa. We enable instant cash-to-cash transfers, bank account top ups and mobile wallet loads across 8 African countries and our reach is continually expanding. All you need to get started is a mobile phone or internet enabled device. We have thousands of payment locations across Africa so there is always one near you and no bank accounts are needed. It's never been easier to send money across Africa. But that’s just half the story. To really understand us, you need to know the “why” behind all we do. Every one of our customers has a story. Whether they are sending money for school fees, hospital bills, rent or groceries, we are passionate about making that story end well. The opportunity to enrich the lives of Africa's people by helping family, friends and loved ones stay connected motivates us to improve, to do more and to reach further. To us a remittance is more than money. It represents the love, care and hard work of the sender and is often a lifeline or an opportunity for the recipient.\n        "
"e4 Strategic (Pty) Ltd"," South Africa"," Innovative Banking"," www.e4.co.za"," Ryan Barlow (CTO)","https://www.linkedin.com/in/ryancto/","","e4 Strategic (Pty) Ltd \n \n        Virtual Identity is a digital solution and takes the pain out of the FICA process for clients and institutions alike. Virtual Identity is accessible over the Web or through an App (Android & iOS). This allows a client to interact with an institution over a video conferencing link, facilitating a face-to-face discussion. The client can supply evidence of their identity and proof of address by taking photos of their original documents and submitting them to the Agent for review and approval. This is an easy to use solution that allows a client to complete the tedious FICA process from the comfort of their home and in under 5 minutes. Institutions obtain all required documentation and have full audit records of the process and they can fulfill all their obligations without the physical meeting. Features: • Sources data from the Deeds Office, Home Affairs and Credit Bureaus to save time in recapturing information about the client. • Performs facial recognition across photographs and identity documents to verify the caller’s identity against the supplied documents. • Performs document validation checks on proof of identity and proof of residence documents. • Records video and voice for record purposes. • Creates a summary report which serves as evidence that FICA has been carried out on the client.\n        "
"Eastpesa"," Kenya"," Payments & Transfers"," https://www.eastpesa.com"," Javan Owino",""," @east_pesa","Eastpesa  \n \n        Eastpesa delivers instant money remittance services anytime, anywhere to mobile money and bank accounts in East Africa. We are changing remittance in Africa with a strong focus on the African diaspora.Our clients can remit money instantly to Kenya,Uganda ,Tanzania and now Rwanda. \n\nTransfers are made using Credit and Debit cards and also mobile money MPESA, Airtel, Tigo, MTN and Equitel). \n        "
"Wealth Migrate"," South Africa"," InvestTech"," www.wealthmigrate.com"," Scott Picken",""," @WealthMigrate","Wealth Migrate \n \n        Wealth Migrate is a leading global online investment marketplace that offers international investors direct access to exclusive real estate investment opportunities in premier markets, including the USA and Australia.\n \nWealth Migrate was founded in 2010 by renowned global real estate investors Scott Picken and Hennie Bezuidenhoudt. Wealth Migrate partners with best-in-class developers and real estate investment companies, giving investors access to premier real estate opportunities.\n\nWealth Migrate is well known for having spearheaded investment opportunities that were previously only accessible to wealthy institutions and high-net-worth individuals. Via its breakthrough technology platform, the company has facilitated many investment opportunities to individuals who would previously not have had access to such large-scale real estate ventures.\n\nOur platform helps people, primarily in the emerging world, invest in the first world in quality assets. \n\nWith an 18-year track record in global real estate investments, Wealth Migrate has had a total of $57 million invested through the platform, over 800 transactions and $2,9m has been paid out in returns.\n\n      \n        "
"G-MOBILE INTERNATIONAL T..."," Tanzania, United Republic of"," Innovative Banking"," www.gmobile.co.tz"," ANSEL MISSANGO","","","G-MOBILE INTERNATIONAL TANZANIA LIMITED \n \n        G-Mobile International is a leading Tanzanian company that is the only provider of a full range, multi-application financial technology solution set to the Tanzanian market. We ride the waves of technology disruption by offering solutions and products that transition Tanzanian financial institutions to the digital age. G-Mobile International offers complete high level technology solutions in all areas of e-commerce, banks, retail industries and financial companies. G-Mobile products and solutions, selected from the global best in class financial technology providers, include: Mobile Biometric enrolment solution, Core Banking System, Switch Services, Micro-lending platform, Mobile Wallet, Insurance Platform, Banking channels, Mobile Point of Sale systems, and EMV Multi-application Smart cards. Although recent to the market, G-Mobile International has already deployed in programs such as provisioning “Real EMV” cards as part of bank’s EMV migration; provided Tanzanian banks with a mobile micro-lending platform that uniquely provides scoring and credit decisions and SMS services for a leading regional stock exchange’s customers.\n        "
"Paymyrent.ng"," Nigeria"," Lending & Financing"," www.paymyrent.ng"," Ogunyemi Damilare","https://www.linkedin.com/in/ogunyemi-oluwatosin-damilare-a54b4652/","","Paymyrent.ng \n \n        In a country where most people earn salaries on a monthly basis, landlords and property owners expect prospective tenants to pay 1-2 years rent upfront. Paymyrent offers Nigerians  the opportunity to spread their rent payment up to a period of 12 months hence, enabling monthly rent payment. Paymyrent pays the landlord upfront while the tenant pays back in 12 months. \nWe also automates monthly savings towards house rent payment.\n        "
"247cash"," Nigeria"," Lending & Financing"," 247cash.ng"," Adedeji Awolola","https://www.linkedin.com/in/adedeji-awolola-b82634a9/"," @247cashng","247cash \n \n        Get a loan in 5 minutes with zero paper work and unnecessary form filling.\n247Cash.ng is an online platform that facilitates credit facilities in Africa by providing loans for both informal and formal sector of the economy\n      \n        "
"Monetbil"," Cameroon"," Payments & Transfers"," www.monetbil.com"," NTONG Serge","https://www.linkedin.com/in/serge-ntong-93632a7a","","Monetbil \n \n        In Africa, 2.8 % of adults (over 15 years old) use an account in a financial institution to pay household bills and less than 2 % use a credit card. Now there are, 146 million registered mobile money accounts and nearly 62 million transactions are done to pay bills, schools fees, insurance, Top UP and money transfer at relative low cost. At least 50 mobile money providers and more than 1,562 merchant’s platforms are active in 54 African countries. These opportunities allow us to conceive, develop and implement Monetbil (www.monetbil.com) an online payment method using mobile money of users. Monetbil, this innovative solution, will be African PayPal, will contribute to the bancarisation of African, enable Google, Yahoo, Facebook, Uber, Whatsapp, Viber, Youtube, Netflix, Avast … to integrate mobile payment on their platform and allow online merchant to acquire market share in the 54 African countries without needing to have contract with each mobile money operators present in each country. Monetbil is now working with MTN Mobile Money and hundred merchants. With Monetbil, buyers buy in 2 seconds and merchants accept all Africa mobile money payments in 2 steps. Our global goal is to transform Africa by being the leader of online payment methods, getting 56% as market share, banking 18.5% of actual non-banked, generate jobs and ameliorate livestyles.\n        "
"Alternative circle Limited"," Kenya"," Lending & Financing"," https://shika-app.com/"," Kevin Mutuku Mutiso","https://www.linkedin.com/in/kmutiso/"," @shika_app","Alternative circle Limited \n \n        Alternative Circle, founded by Kevin Mutiso (CE0) and Anthony Karuiki (CXO) in 2016, was started with a dream of revolutionizing the financial technology industry globally. The company's first product, SHIKA APP a micro lending mobile application was created to solve the problem of individuals unable to access loans since they lacked a credit history. SHIKA delivers loans to a users mobile money account in 180 seconds on the first loan, and in less than 60 seconds on all subsequent loans. On the back-end of the application we have built a credit rating algorithm that we call B.E.E (Business Evaluation Engine). It looks at over 2000 data points, including the local Credit Reference Bureau (CRB) data and behavioural data. The credit rating is done in less than 60 seconds and we are thus able to deliver the loan. The loans are between $5 and $200 and we charge a facilitation fee of 15% on the first loan and as B.E.E obtains more KYC (Know Your Customer) this fee will reduce. \n\nThe application was also built with financial institutions in mind.  These institutions need new channels to disburse micro-loans since they have no human capital or the infrastructure to give out micro loans. Alternative Circle has partnered with financial institutions, filling in that gap by letting it’s customers without a credit history access loans in a fast an easy way.These loans enables these individuals create a credit history with us that can be used to obtained bigger loans from financial institutions that we have partnered with. \n\nThe application will be available on the Android playstore. All the features mentioned are operational and have been tested. We have already began to deliver loans. Initially we are starting with a beta test group of 1000 users, then we will ramp up marketing. Our target is to reach 1 million active users in 18 months. We raised $1.1 Million from CreditInfo in seed capital and $15 Million for our lending pool from financial institutions. We also have access to 200 developers and 25 data scientists through our strategic partnership with CreditInfo, therefore making it easy to scale in different markets.\n      \n        "
"MyBucks S.A."," Luxembourg"," Lending & Financing"," www.mybucks.com"," Dave Van Niekerk","https://www.linkedin.com/in/dave-van-niekerk-52761419/"," @mybucksfintech","MyBucks S.A. \n \n        MyBucks is a FinTech company based in Luxembourg and listed on the Frankfurt stock exchange. MyBucks embraces technology as a means to provide financial products and services to the low and middle-income consumer segment, predominantly in emerging markets of Sub-Saharan Africa. Our broad portfolio includes banking, lending, and insurance products, and is supported by financial services such as mobile banking, credit reports with credit education features as well as financial budgeting, and emergency cover through insurance. MyBucks was the first fintech player in Africa to provide saving products, and currently operates in 14 countries - 11 African and two European with 3 banks and 3 pending licenses. To date, it has disbursed over 1 million loans with a value exceeding 250 Million Euros.\n        "
"BitPesa"," Kenya"," Blockchain & Bitcoin"," www.bitpesa.co"," Elizabeth Rossiello","https://www.linkedin.com/in/elizabeth-rossiello-589b8b1?authType=NAME_SEARCH&authToken=nY36&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A5908857%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1464694454479%2Ctas%3AElizabeth%20Rossiello"," @BitPesa","BitPesa \n \n        BitPesa is a pan-African platform redefining how businesses make payments to and from sub-Saharan Africa. Focused on using cutting-edge blockchain technology to increase efficiency across markets, BitPesa opens corridors for business payments and trade between Africa and the rest of the world. We exchange Bitcoins for Nigerian Naira, Kenyan, Tanzanian and Ugandan shillings, which are delivered within minutes to bank accounts and mobile money platforms in the respective countries. We also sell Bitcoins in Kenya, Nigeria, and Uganda. Our focus on adaptive, web technologies connects BitPesa with a strong, international broker network to ease the flow of funds.\n\nUsing BitPesa, organisations can now take control of their payments to employees, distributors, or suppliers, as well as collect payments from African customers. This includes payment from popular mobile money services as well as delivery to an organisation’s national or international bank account on the same day. We offer businesses the fastest and most cost-efficient way to make and receive payments in African currencies.\n \n        "
"MPAYING NETWORK"," Nigeria"," Payments & Transfers"," www.mpaying.com"," AREMU KAMALI AMOO","","","MPAYING NETWORK \n \n        We offers online platform for B2B and P2P with creative and innovative product that could not be found elsewhere. Our platform offer services at lower charges and high cashback commission. Our services and products are purchase of all examination cards online; airtime topup for self and other;  oversea airtime; printing of GSM voucher by airtime vendor that sell in wholesale; Send customize bulk sms;  Bill payment (DSTV, GOTV, STARTIMES, PHCN, INTERNET SUBSCRIPTION, SCHOOL FEES, etc); deposit to bank and cash withdrawal at agent point via POS and Webpay, virtual currency bitcoin, paypal, perfect money etc. Moreover, mpaying allows users anywhere in the world to send money directly to the mobile wallets and get the cash via any ATM Location worldwide via mpaying customise visa/mastercard. This platform reduce movement of people and cash especially people in rural and suburban area through creating of agent banking network in every street in Nigeria especially those services that needed to be carryout in long distance away from their community. Also it create financial services for the under bank and unbanked customers in Nigeria that are over 70% of the population.\n\nIn addition, we build APIs for eCommerce, school, micro-finance bank, cooperative body etc  that want to do similar business inorder to integrate into our platform with no cost and high commission. Also the platform integrate to some multinational company in Nigeria and oversea through integration of their company APIs to provide their service through our platform for the agent and end users who might not bear the high cost of integration. The platform APIs also configure into mobile application for small scale business that sell to end user and they make money through the sale of our product through mobile app and web, the categories this customers called Agent, individual\n        "
"Funds and Electronic Tra..."," Nigeria"," Payments & Transfers"," www.fetswallet.com"," Omotade Odunowo",""," @fetswallet","Funds and Electronic Transfer Solutions (fets) Limited \n \n        fets is a Central Bank of Nigeria (CBN) licensed mobile money operator, our product-fetswallet is focused on enhancing the lives of our customers by providing convenient, reliable and affordable online and mobile payment services for today and tomorrow. Fetswallet is an easy, secure and convenient solution that allows users to transfer money from one point to another through the basic mobile phones using electronic value. Customers are able to purchase airtime, pay bills from anywhere, send save and receive money across Nigeria. With a proven track record of technological innovation and client satisfaction, fets is keen on achieving its vision of becoming Africa’s leading mobile money payment provider. fets has partnered with several organizations to execute specific community projects, one such completed project is with Communic8Health and PharmAccess to provide and promote digital payment for healthcare as well as support disadvantaged communities and low income earners to access healthcare services using their fetswallet account.\n        "
"NetGuardians Africa"," Kenya"," Innovative Banking"," www.netguardians.ch"," Joel Winteregg",""," @netguardians","NetGuardians Africa \n \n        Named a Gartner Cool Vendor in 2015, NetGuardians is a leading FinTech company recognized for its unique approach to fraud and risk assurance solutions. Their software leverages Big Data to correlate and analyze behaviors across the entire bank system – not just at the transaction level. It tracks and audits all user actions continuously, in real time, and instantly sends alerts when there is an atypical activity, enabling banks to take a proactive risk mitigation approach. NetGuardians’ experts develop out-of-the-box controls that address anti-fraud requirements and automate compliance for specific regulations. Founded in 2007, NetGuardians was the first company to emerge from the innovation incubator Y-Parc, in Yverdon-les-Bains, Switzerland. Since then, they have seen a steadily growing client base in Europe, the Middle East, Africa, and Asia. Headquartered in Switzerland, NetGuardians has offices in Kenya, Singapore, and Poland.\n        "
"NOWNOW"," Nigeria"," Payments & Transfers"," www.nownow.ng"," Sahir Berry","https://www.linkedin.com/in/sahir-berry-537b60b0/"," @nownownigeria","NOWNOW \n \n        We understand the struggles every resident faces in Nigeria. We have made a solution tailored to help everyone irrespective of their classes save on important financial activities.With a focus on the normal everyday user who does airtime transactions, money transfers and bill payments, he enjoys 5% discount on all his transactions. And with our partnerships with many restaurants, shops, health centres and several others, he will get coupons worth upto 70% to get discounts at any of our partners’ locations. This way we aim to give back to our users other benefits worth 500% bonus of their purchase.And we also have an Agent Network system. We empower individuals and SMEs with free smartphones and Bluetooth printers to take financial services to the unbanked (and enjoy commission on transactions) especially at remote areas with no access to bank. This way we enable everyone enjoys financial services and creating equality irrespective of locations, education, background and vice versa.Since our roll out in 2016, we have seen transaction volume and user base increased at over 200% on monthly basis with several of our partners like Barcelos (restaurant), Pizza House (pizza dealer) and more enjoying patronages from NOWNOW users to redeem coupons since we launched our consumer app in April, 2017.\n        "
"JORG TECHNOLOGIES LTD"," Nigeria"," Payments & Transfers"," https://www.nairabox.com"," Damilola Jegede","https://www.linkedin.com/in/damilola-rafael-jegede-68a01842/"," @damilolajegede","JORG TECHNOLOGIES LTD \n \n        We are your wallet, upgraded. We bring digital advance cinema tickets, event tickets, allow food orders, airtime purchases, bill payments, donations, offline QR payments, in-app transfers, exclusive music (a flash feature for new releases) and an all-inclusive loyalty system. We are particularly proud of the ease of use and data light use of the app. It is a lifestyle app and breath of fresh air in the tense environment of the F word world (Fintech).\n        "
"Flutterwave"," Nigeria"," Payments & Transfers"," www.flutterwave.com"," Iyin Aboyeji",""," @theflutterwave","Flutterwave  \n \n        Flutterwave is one simple API for processing payments across card, bank account and mobile money platforms in over thirty African countries. Flutterwave has processed over $40 million in transactions to date for clients that include Uber, Paystack, SimplePay, Page Microfinance Bank, KCB Bank and Access Bank.Our founding team has several years of experience working at global technology companies like Google Wallet, Andela and PayPal as well as several African Commercial and Central Banks. Flutterwave is a US company, headquartered in San Francisco, Californnia\n        "
